,Inverse,LU,Determinant
10,10.0,30.0,30.0
20,20.0,80.0,80.0
30,30.0,142.0,142.0
40,40.0,200.0,200.0
50,50.0,266.0,266.0
60,60.0,344.0,344.0
70,70.0,410.0,410.0
80,80.0,480.0,480.0
90,90.0,550.0,550.0
100,100.0,632.0,632.0
110,110.0,714.0,714.0
120,120.0,808.0,808.0
130,130.0,902.0,902.0
140,140.0,960.0,960.0
150,150.0,1030.0,1030.0
160,160.0,1120.0,1120.0
170,170.0,1190.0,1190.0
180,180.0,1280.0,1280.0
190,190.0,1382.0,1382.0
200,200.0,1464.0,1464.0
210,210.0,1550.0,1550.0
220,220.0,1648.0,1648.0
230,230.0,1746.0,1746.0
240,240.0,1856.0,1856.0
250,250.0,1966.0,1966.0
260,260.0,2064.0,2064.0
270,270.0,2126.0,2126.0
280,280.0,2200.0,2200.0
290,290.0,2282.0,2282.0
300,300.0,2360.0,2360.0
310,310.0,2450.0,2450.0
320,320.0,2560.0,2560.0
330,330.0,2630.0,2630.0
340,340.0,2720.0,2720.0
350,350.0,2822.0,2822.0
360,360.0,2920.0,2920.0
370,370.0,3026.0,3026.0
380,380.0,3144.0,3144.0
390,390.0,3238.0,3238.0
400,400.0,3328.0,3328.0
410,410.0,3418.0,3418.0
420,420.0,3520.0,3520.0
430,430.0,3622.0,3622.0
440,440.0,3736.0,3736.0
450,450.0,3854.0,3854.0
460,460.0,3952.0,3952.0
470,470.0,4062.0,4062.0
480,480.0,4192.0,4192.0
490,490.0,4302.0,4302.0
500,500.0,4432.0,4432.0
